date,AAPL,SPY,AMZN,NFLX,NDAQ,IBM,GE,GOOGL,BAC,F,PFE
2013-04-03,56.1777,140.4863,259.03,24.2485,25.9568,181.8724,19.5101,403.5041,11.1617,10.0117,24.331
2013-04-04,55.6224,141.0565,259.08,23.8128,26.2323,180.7178,19.5779,397.9325,11.2845,9.988,24.44
2013-04-05,55.0346,140.4211,255.48,23.5228,26.4067,179.0929,19.4507,391.9165,11.3129,9.8222,24.3897
2013-04-08,55.426,141.3732,258.95,23.2943,26.6271,179.0159,19.6118,387.8124,11.5397,10.0907,24.44
2013-04-09,55.5262,141.8619,261.14,24.1943,26.3976,178.9304,19.561,389.2138,11.5775,10.1065,24.3981
2013-04-10,56.6588,143.5996,264.77,23.7243,26.6271,181.3079,20.002,395.4851,11.6437,10.3591,25.077
2013-04-11,56.482,144.0702,269.85,24.7157,26.7832,182.0947,20.0105,395.5902,11.5964,10.6986,25.6804
2013-04-12,55.8929,143.7172,272.87,24.7428,26.7924,180.7777,19.9003,395.42,11.5019,10.6829,25.7056
2013-04-15,54.5989,140.3849,267.72,25.2143,26.2047,178.9646,19.3489,391.356,11.3223,10.2249,25.5212
2013-04-16,55.4299,142.4593,272.34,25.1214,26.2966,181.3079,19.5949,397.0817,11.6059,10.3591,25.9319
2013-04-17,52.3817,140.3777,267.4,24.1943,25.9844,179.3153,19.3065,391.6713,11.0577,10.2052,25.8732
2013-04-18,50.9837,139.4998,259.42,23.4028,25.6538,177.1601,19.2301,383.34,10.812,10.067,25.6385
2013-04-19,50.7861,140.7126,260.32,23.3385,25.6814,162.493,18.4497,400.3349,11.0199,10.2091,26.0324
2013-04-22,51.8446,141.337,263.55,24.91,25.8466,160.6371,18.1104,400.4571,11.0766,10.3118,25.9235
2013-04-23,52.8147,142.7941,268.9,30.9985,26.1405,163.8699,18.2377,404.3539,11.4074,10.5486,26.0492
2013-04-24,52.7279,142.8846,268.78,30.96,25.8926,163.9554,18.6279,407.1337,11.6342,10.5249,25.6469
2013-04-25,53.1073,143.4638,274.7,30.5357,26.3792,165.8711,18.6194,404.9545,11.7571,10.6355,25.3619
2013-04-26,54.255,143.2104,254.81,30.7928,26.5445,166.179,18.8399,401.1107,11.7382,10.7934,25.2194
2013-04-29,55.9345,144.1697,249.74,30.7161,26.7189,170.3183,18.8908,409.9395,11.7004,10.7855,25.5044
2013-04-30,57.5809,144.5137,253.81,30.8671,27.0678,173.2175,18.9078,412.6973,11.6342,10.825,24.3646
2013-05-01,57.127,143.2466,248.23,30.4157,26.8566,170.7288,18.789,410.6252,11.4736,10.642,24.2221
2013-05-02,57.9372,144.577,252.55,30.6414,27.5177,173.0892,18.9332,415.2198,11.5208,10.6659,24.5322
2013-05-03,58.5172,146.0413,258.05,30.4928,27.9676,174.9023,19.1453,423.2829,11.5681,11.0,24.2724
2013-05-06,59.9125,146.4142,255.72,30.0985,27.6738,173.4228,19.1538,431.2058,12.1729,11.2068,24.0712
2013-05-07,59.6457,147.1562,257.73,29.4643,27.7473,174.1497,19.2386,429.0436,12.1918,11.2863,24.331
2013-05-08,60.3196,147.826,258.68,29.8014,28.0411,175.9884,19.5185,437.2518,12.3053,11.3022,24.2803
2013-05-09,59.7934,147.4106,260.16,30.9157,27.7564,174.6308,19.3234,436.1757,12.2013,11.2942,24.1704
2013-05-10,59.2959,147.8894,263.63,31.0991,28.0044,175.6877,19.4252,440.5551,12.3053,11.2227,24.2719
2013-05-13,59.5276,148.007,264.51,32.7684,27.986,173.9692,19.3828,439.2038,12.2674,11.1431,24.8212
2013-05-14,58.1034,149.5365,268.33,33.4243,28.39,174.605,19.5185,443.9936,12.6077,11.3499,24.8465
2013-05-15,56.1385,150.3375,266.56,34.7714,28.5828,174.6995,19.7136,458.4029,12.7022,11.6681,24.9818
2013-05-16,56.8883,149.6361,264.12,33.8614,28.2431,175.8767,19.7391,452.3869,12.6266,11.6442,24.7198
2013-05-17,56.7158,151.0841,269.9,34.1428,28.7022,179.0988,19.9003,455.0446,12.6927,11.9942,24.4747
2013-05-20,57.9816,151.075,267.63,34.2214,28.7756,178.3771,19.9936,454.7193,12.7684,11.9703,24.255
2013-05-21,57.5536,151.2923,268.86,33.87,28.6379,179.2793,20.0699,453.9385,12.7022,11.8908,24.3226
2013-05-22,57.7753,150.17,262.96,32.6514,28.4451,177.8529,20.2396,445.1547,12.5793,11.9067,24.762
2013-05-23,57.8782,149.7356,261.8,32.3114,28.39,177.1398,20.0699,441.8364,12.4848,11.7794,24.6015
2013-05-24,58.2723,149.6071,261.74,32.6771,28.2064,176.7617,19.9596,437.0967,12.5132,11.7635,24.5423
2013-05-28,57.7865,150.5049,267.29,30.5985,28.895,178.5317,20.019,441.0756,12.6171,12.1532,24.5169
2013-05-29,58.2461,149.5275,265.53,30.7628,29.0052,178.652,20.0529,434.5892,12.74,12.4316,23.9
2013-05-30,59.114,150.0795,266.83,31.8085,29.5193,179.8893,20.019,435.8154,13.0708,12.6464,23.8747
2013-05-31,58.8725,147.9211,269.2,32.3214,28.8858,178.738,19.7815,436.0446,12.9101,12.4714,23.0126
2013-06-03,59.0014,148.7401,266.88,31.71,28.5185,179.537,20.0529,434.2488,12.8062,12.6384,23.4521
2013-06-04,58.8168,148.0251,265.7,32.1871,28.3165,177.1656,20.0699,429.9796,12.6266,12.5509,23.376
2013-06-05,58.267,145.9544,267.17,31.9228,28.5002,174.2012,19.7815,430.2799,12.3807,12.1294,23.2239
2013-06-06,57.3965,147.274,267.83,31.1057,29.2439,175.112,19.8324,432.7523,12.4847,12.2805,23.7563
2013-06-07,57.8352,149.1474,276.87,31.46,30.1896,177.303,20.2396,440.3049,12.655,12.5112,23.8831
2013-06-10,57.4528,149.1474,281.07,31.5614,30.3492,176.1602,20.1717,445.5551,12.5793,12.4953,23.9761
2013-06-11,57.2839,147.607,274.78,30.6371,29.6116,175.2666,20.002,440.3449,12.4091,12.3362,24.0183
2013-06-12,56.5757,146.387,271.67,29.6628,28.8926,172.878,19.9342,436.426,12.3523,12.2248,24.0268
2013-06-13,57.0699,148.6134,275.79,30.77,30.0357,175.0862,20.0869,438.9385,12.4942,12.3919,24.5761
2013-06-14,56.2956,147.6767,273.99,30.57,30.0542,173.7372,19.9512,437.9575,12.3618,12.2248,24.5846
2013-06-17,56.5509,148.8215,278.06,32.7471,30.4598,174.459,20.1632,443.5681,12.4942,12.368,24.6437
2013-06-18,56.5207,149.9936,281.76,32.69,30.5981,176.0314,20.6382,450.7603,12.5509,12.4475,24.8465
2013-06-19,55.3727,147.9256,278.16,33.1871,30.1556,173.5138,20.3414,450.7903,12.4753,12.1851,24.593
2013-06-20,54.5661,144.2602,273.44,31.9314,30.1924,169.5699,19.8796,442.8124,12.1915,11.7874,24.2
2013-06-21,54.1291,144.7234,273.36,30.9857,30.0265,167.946,19.9737,440.9055,12.0024,11.9305,24.0521
2013-06-24,52.6944,142.8947,270.61,30.8,29.3627,166.2962,19.606,435.3299,11.6335,11.6681,23.4183
2013-06-25,52.7062,144.2731,272.088,30.4143,29.8237,167.5335,19.7599,433.5331,11.9834,11.9067,23.6549
2013-06-26,52.1093,145.6969,277.57,30.3,29.8928,167.4304,19.8796,437.2618,12.0686,12.1612,23.7479
2013-06-27,51.5477,146.5521,277.55,30.71,30.2939,168.1092,19.9395,438.9735,12.305,12.4475,23.8155
2013-06-28,51.9077,145.9517,277.69,30.1557,30.2293,164.2083,19.8283,440.6252,12.1631,12.3044,23.6718
2013-07-01,53.5688,146.8069,282.1,32.04,30.5243,164.3544,19.9566,444.3839,12.2294,12.5191,23.4774
2013-07-02,54.7823,146.6704,283.73,31.6371,30.4782,164.5434,19.5804,441.5962,12.201,12.8691,23.4098
2013-07-03,55.0847,146.7341,284.03,31.5585,30.1648,166.0471,19.5889,443.6582,12.1348,13.0679,23.3676
2013-07-05,54.6423,148.3172,285.88,32.1571,30.6995,167.4906,19.8711,447.1917,12.3523,13.2827,23.638
2013-07-08,54.332,149.1587,290.59,33.3,30.552,167.5335,19.9395,452.9975,12.5604,13.3702,23.7732
2013-07-09,55.2876,150.2369,291.53,35.3402,30.6442,164.3716,20.196,453.0726,12.7968,13.394,23.9592
2013-07-10,55.0756,150.2933,292.33,34.8314,30.6718,165.1878,20.1276,453.448,12.6455,13.2986,24.0352
2013-07-11,55.934,152.3385,299.66,34.8814,31.4555,165.6604,20.4696,460.5801,12.7779,13.5054,24.3141
2013-07-12,55.8322,152.4022,307.55,36.7515,31.6214,165.0332,20.3157,461.9615,13.0333,13.6088,24.3479
2013-07-15,55.9539,152.989,306.57,36.8542,31.4739,166.6915,20.2045,462.8073,13.1279,13.6167,24.331
2013-07-16,56.3146,152.4159,306.87,37.2114,31.142,166.5626,20.0335,460.2638,13.1657,13.2031,24.2381
