date,AIA,CANF,PXMG,FEU,NFBK,URE,BIOS,BANFP,CHRS,OILU,BMRA,COR,NVR,ITW,FXP,ULBI,ASTC,SSYS,JPS,HEB,TUSA,HEQ,TGB,HCM,TRU
2013-04-03,40.9538,,24.1058,28.1577,10.1262,38.3562,12.405,19.0356,,,1.11,29.1506,1033.95,54.9601,86.36,4.05,4.2,70.015,6.3662,2.4792,19.9048,10.3255,2.55,,
2013-04-04,40.7569,,24.2503,28.1162,10.206,39.4531,12.32,18.8704,,,1.12,29.284,1041.99,55.5178,85.68,4.12,3.985,70.72,6.3662,2.412,19.9524,10.3944,2.55,,
2013-04-05,40.3184,,24.1646,27.9004,10.1705,39.6762,12.41,19.0427,,,1.12,28.9256,1046.75,55.3828,87.08,4.09,3.95,69.45,6.4003,2.7852,,10.3443,2.66,,
2013-04-08,40.1394,4.3811,24.4237,28.0415,10.206,40.4546,12.42,,,,1.17,29.384,1063.32,55.6797,87.28,4.02,3.9,68.33,6.4139,2.88,20.095,10.2628,2.59,,
2013-04-09,40.4974,,24.5104,28.234,10.1174,40.4029,13.01,,,,1.2,29.034,1053.11,55.8956,84.44,4.24,3.8005,73.04,6.448,2.664,,10.3505,2.65,,
2013-04-10,40.8016,,24.8737,28.5809,10.2857,40.8913,13.15,,,,1.1,29.2007,1038.0,56.2913,83.32,4.24,3.85,78.38,6.4821,2.76,20.5039,10.432,2.6,,
2013-04-11,40.8016,4.6732,24.9536,28.7303,10.2503,41.3517,13.25,19.05,,,1.12,29.7257,1042.79,57.1639,84.12,4.01,4.0,77.55,6.4344,2.712,20.5775,10.4946,2.56,,
2013-04-12,40.2732,,24.7995,28.6473,10.2591,41.5558,13.21,19.0499,,,1.14,29.7507,1014.0,57.0649,85.48,4.05,3.922,77.23,6.4412,2.748,20.426,10.4006,2.49,,
2013-04-15,39.674,4.644,24.0961,28.2241,10.1174,39.7236,12.76,,,,1.12,29.309,992.25,55.3469,90.48,3.975,3.9005,73.92,6.4276,2.676,20.0949,10.2816,2.2,,
2013-04-16,40.3895,,24.4334,28.5726,10.1794,41.0052,13.08,19.1268,,,0.94,29.584,1016.78,56.4532,87.16,4.08,3.95,75.76,6.4753,2.64,,10.3881,2.09,,
2013-04-17,39.7044,4.42,24.125,27.7178,10.1351,40.0179,12.32,,,,0.98,29.8923,1009.0,54.9061,90.6,4.01,3.99,73.97,6.4617,2.586,19.7622,10.2691,1.97,,
2013-04-18,39.7277,4.3616,24.0326,27.7195,10.0997,40.0416,12.41,,,,1.03,30.309,995.97,54.4204,90.32,3.95,3.801,70.52,6.4821,2.592,19.4931,10.2127,1.98,,
2013-04-19,40.4759,4.4493,24.2118,27.8672,10.1971,40.9767,13.07,,,,1.03,30.984,1006.13,54.4204,84.44,3.83,3.75,70.7,6.4958,2.592,,10.2565,2.04,,
2013-04-22,40.6872,4.2643,24.3081,28.0249,10.2591,40.9862,13.0,19.6677,,,1.05,31.4257,983.5,54.6722,83.64,3.88,4.2,71.31,6.5094,2.592,19.7893,10.2628,2.02,,
2013-04-23,40.6708,,24.5971,28.4943,10.2769,41.4798,13.54,,,,1.04,31.4007,1002.99,56.4532,84.32,3.88,4.1,75.5,6.5231,2.64,20.1195,10.3818,2.01,,
2013-04-24,40.9001,,24.7556,28.6722,10.3034,41.6749,13.66,,,,1.02,29.6673,990.0,57.7485,82.28,3.98,4.0,76.11,6.5572,2.8188,,10.4006,2.1,,
2013-04-25,41.455,,24.9985,28.7635,10.454,41.6507,13.66,,,,1.01,29.509,1000.39,58.6301,79.84,4.01,4.1,76.61,6.5845,2.7624,,10.4068,2.22,,
2013-04-26,41.3118,,24.732,28.8382,10.4097,41.3374,13.74,,,,1.01,28.8923,1018.46,57.9105,80.28,3.91,4.0,75.97,6.605,2.8152,20.2472,10.3881,2.24,,
2013-04-29,41.7602,,24.9825,29.2116,10.4009,41.8833,13.79,19.0787,,,1.0,29.534,1018.36,58.3152,77.96,3.9,3.9995,79.0,6.5913,2.88,20.4849,10.457,2.23,,
2013-04-30,42.0636,,25.0692,29.254,10.4186,42.7424,13.86,19.0787,,,,30.1507,1030.0,58.0724,76.64,3.94,3.95,83.05,6.6186,2.58,20.4751,10.5009,2.34,,
2013-05-01,41.6339,,24.7995,29.112,10.2503,42.1728,13.62,,,,1.03,29.584,1015.59,57.4517,78.92,3.86,3.9835,79.8,6.6118,2.592,20.4849,10.5197,2.28,,
2013-05-02,41.9761,3.8943,25.0373,29.3195,10.2591,42.5383,13.89,19.1361,,,1.03,29.684,1023.69,58.0364,78.12,3.99,3.9495,81.76,6.6527,2.7456,,10.5197,2.29,,
2013-05-03,42.3589,,25.2908,29.634,10.2857,42.5573,13.82,,,,1.015,30.2673,1022.2,59.1068,76.56,3.93,3.75,83.53,6.6323,2.64,20.6751,10.5134,2.37,,
2013-05-06,42.171,,25.4061,29.5593,10.4314,42.9228,14.06,,,,1.03,31.9174,1017.86,59.1428,75.84,3.92,3.75,83.09,6.6254,2.544,20.8432,10.5949,2.38,,
2013-05-07,42.4663,,25.551,29.7012,10.4405,43.4164,14.1,19.1793,,,,31.8424,1002.64,60.0423,74.28,4.0,3.7505,83.0,6.7073,2.58,20.8654,10.6325,2.26,,
2013-05-08,42.8153,,25.6666,30.1079,10.4314,43.6015,14.13,19.2654,,,,31.7924,1003.28,60.9328,73.0,4.19,3.9,83.07,6.7346,2.64,,10.6513,2.32,,
2013-05-09,42.6184,,25.5808,29.6348,10.3949,43.0747,13.88,,,,1.0,30.3257,997.0,61.3016,74.56,4.1,3.75,82.2,6.7005,2.58,,10.6701,2.38,,
2013-05-10,42.2873,,25.7148,29.7427,10.3858,43.1601,13.83,19.2582,,,,30.209,1004.42,61.4365,73.76,4.08,3.6505,83.39,6.6868,2.748,21.0556,10.6763,2.35,,
2013-05-13,41.7956,,25.6377,29.668,10.4314,43.3215,13.75,19.2582,,,,30.709,996.0,61.4275,76.32,4.05,3.6505,85.34,6.6148,2.6412,21.1888,10.7264,2.33,,
2013-05-14,42.0546,3.9527,25.9653,29.6929,10.4405,43.7677,13.7,,,,1.0,30.6757,997.4,62.408,76.12,4.0,3.85,90.27,6.6491,2.598,21.512,10.8079,2.24,,
2013-05-15,42.0546,,26.0462,29.8098,10.4314,44.5082,13.57,19.1074,,,0.91,30.5423,1010.95,63.1276,76.16,4.0,3.85,90.904,6.6422,2.61,21.5407,10.7202,2.14,,
